sku,name,price,url
ECARD21,Name Not Found,Price Not Found,https://www.footlocker.com/product/giftcard/ECARD21.html
41017550,Nike Air Zoom G.T. Cut 1,$200.00,https://www.footlocker.com/product/nike-air-zoom-g-t-cut-1-mens/41017550.html
Z0175103,Nike Air Zoom G.T. Cut 1,$190.00,https://www.footlocker.com/product/nike-air-zoom-g-t-cut-1-mens/Z0175103.html
14571102,Jordan Retro 13,$215.00,https://www.footlocker.com/product/jordan-retro-13-mens/14571102.html
FV415029,Jordan Retro 4 Lakers,$220.00,https://www.footlocker.com/product/jordan-retro-4-lakers-mens/FV415029.html
IH413991,Nike Air Zoom G.T. Cut 1,$180.00,https://www.footlocker.com/product/nike-air-zoom-g-t-cut-1-mens/IH413991.html
41670500,Nike JA 3,$135.00,https://www.footlocker.com/product/nike-ja-3-mens/41670500.html
Q8356900,Nike Zoom KD 6,$145.00,https://www.footlocker.com/product/nike-zoom-kd-6-mens/Q8356900.html
Z0175007,Nike Air Zoom G.T. Cut 1,$190.00,https://www.footlocker.com/product/nike-air-zoom-g-t-cut-1-mens/Z0175007.html
T8529001,Jordan Retro 6,$215.00,https://www.footlocker.com/product/jordan-retro-6-mens/T8529001.html
I7519500,Nike KD 18,$165.00,https://www.footlocker.com/product/nike-kd-18-mens/I7519500.html
M4002100,Jordan Air Jordan 4 Retro OG FC,$220.00,https://www.footlocker.com/product/jordan-air-jordan-4-retro-og-fc-mens/M4002100.html
1401400,Nike Kobe 9 Elite Low EM,This item is on sale. Price dropped from $190.00 to $149.99$149.99$190.0021% off,https://www.footlocker.com/product/nike-kobe-9-elite-low-em-mens/1401400.html
41696320,Nike G.T. Cut 3 PE,This item is on sale. Price dropped from $200.00 to $159.99$159.99$200.0020% off,https://www.footlocker.com/product/nike-g-t-cut-3-pe-mens/41696320.html
B2219001,Nike Air Foamposite One,This item is on sale. Price dropped from $240.00 to $169.99$169.99$240.0029% off,https://www.footlocker.com/product/nike-air-foamposite-one-mens/B2219001.html
I7519001,Nike KD 18,$165.00,https://www.footlocker.com/product/nike-kd-18-mens/I7519001.html
W2288111,Nike Air Force 1 '07,$115.00,https://www.footlocker.com/product/nike-air-force-1-07-mens/W2288111.html
F2793400,Nike JA 3,$125.00,https://www.footlocker.com/product/nike-ja-3-mens/F2793400.html
B3555800,Nike Zoom KD IV,This item is on sale. Price dropped from $135.00 to $99.99$99.99$135.0026% off,https://www.footlocker.com/product/nike-zoom-kd-iv-mens/B3555800.html
F2793601,Nike JA 3,$125.00,https://www.footlocker.com/product/nike-ja-3-mens/F2793601.html
M6119400,Nike Kobe 9 Elite Low EM,$190.00,https://www.footlocker.com/product/nike-kobe-9-elite-low-em-mens/M6119400.html
