sku,name,price,url
ECARD21,Name Not Found,Price Not Found,https://www.footlocker.com/product/giftcard/ECARD21.html
5996100,Name Not Found,$190.00,https://www.footlocker.com/en/product/nike-air-max-95-og-womens/5996100.html
K0892600,Name Not Found,$170.00,https://www.footlocker.com/en/product/nike-air-max-uptempo-95-mens/K0892600.html
H4740008,Name Not Found,$190.00,https://www.footlocker.com/en/product/nike-air-max-95-og-big-bubble-mens/H4740008.html
M8755001,Name Not Found,$190.00,https://www.footlocker.com/en/product/nike-air-max-95-og-mens/M8755001.html
H4517003,Name Not Found,$145.00,https://www.footlocker.com/en/product/nike-air-max-90-prm-reflect-mens/H4517003.html
24453004,Name Not Found,$220.00,https://www.footlocker.com/en/product/nike-air-vapormax-plus-mens/24453004.html
52599600,Name Not Found,$190.00,https://www.footlocker.com/en/product/nike-air-max-95-womens/52599600.html
9926001,Name Not Found,$190.00,https://www.footlocker.com/en/product/nike-air-max-95-og-big-bbl-womens/9926001.html
C1411001,Name Not Found,$160.00,https://www.footlocker.com/en/product/nike-air-max-cb-94-mens/C1411001.html
4130017,Name Not Found,$147.00,https://www.footlocker.com/en/product/nike-air-max-95-bb-leather-boys-grade-school/4130017.html
36537010,Name Not Found,This item is on sale. Price dropped from $145.00 to $108.75$108.75$145.0025% off,https://www.footlocker.com/en/product/nike-tech-fleece-wr-full-zip-jacket-mens/36537010.html
HV867010,Name Not Found,$105.00,https://www.footlocker.com/en/product/nike-tech-fleece-full-zip-boys-grade-school/HV867010.html
N3787010,Name Not Found,$65.00,https://www.footlocker.com/en/product/nike-club-joggers-mens/N3787010.html
N3859010,Name Not Found,$70.00,https://www.footlocker.com/en/product/nike-club-pullover-hoodie-mens/N3859010.html
37826451,Name Not Found,This item is on sale. Price dropped from $70.00 to $35.00$35.00$70.0050% off,https://www.footlocker.com/en/product/nike-club-bb-bungee-pants-performance-graphic-mens/37826451.html
18347031,Name Not Found,This item is on sale. Price dropped from $75.00 to $52.50$52.50$75.0030% off,https://www.footlocker.com/en/product/nike-just-do-it-hoodie-mens/18347031.html
36540010,Name Not Found,This item is on sale. Price dropped from $125.00 to $93.75$93.75$125.0025% off,https://www.footlocker.com/en/product/nike-tech-fleece-jogger-pants-mens/36540010.html
Q1015702,Name Not Found,$95.00,https://www.footlocker.com/en/product/nike-95-riding-goalie-jersey-mens/Q1015702.html
D8506012,Name Not Found,This item is on sale. Price dropped from $125.00 to $90.00$90.00$125.0028% off,https://www.footlocker.com/en/product/nike-lakers-mnk-dri-fit-swingman-city-edition-jersey-mens/D8506012.html
X2205657,Name Not Found,This item is on sale. Price dropped from $45.00 to $33.75$33.75$45.0025% off,https://www.footlocker.com/en/product/nike-max90-stranger-things-short-sleeve-t-shirt-mens/X2205657.html
KI6544,Name Not Found,$130.00,https://www.footlocker.com/en/product/adidas-originals-japan-womens/KI6544.html
14571102,Name Not Found,$215.00,https://www.footlocker.com/en/product/jordan-retro-13-mens/14571102.html
M4002100,Name Not Found,$220.00,https://www.footlocker.com/en/product/jordan-air-jordan-4-retro-og-fc-mens/M4002100.html
W2288111,Name Not Found,$115.00,https://www.footlocker.com/en/product/nike-air-force-1-07-mens/W2288111.html
R563146,Name Not Found,$210.00,https://www.footlocker.com/en/product/nike-air-zoom-huarache-2k4-all-star-mens/R563146.html
